Smurfs: The Lost Village|2017|Adventure - Animation - Comedy|6.0
The Sound of Music|1965|Drama - Family - Music|7.3
The Space Between Us|2017|Romance - Adventure - Science Fiction|7.0
Spark: A Space Tail|2017|Adventure - Animation - Comedy|3.5
Spectre|2015|Action - Adventure - Crime|6.3
Spider-Man: Homecoming|2017|Action - Adventure|7.3
Spirited Away|2001|Fantasy - Adventure - Animation|8.2
Split|2016|Horror - Thriller|6.8
The SpongeBob Movie: Sponge Out of Water|2015|Animation - Adventure|5.7
Spy|2015|Action - Comedy - Crime|6.9
Star Trek Beyond|2016|Action - Adventure - Science Fiction|6.5
Star Trek Into Darkness|2013|Action - Adventure - Science Fiction|7.4
Star Wars: The Force Awakens|2015|Action - Adventure - Science Fiction|7.5
Star Wars: The Last Jedi|2017|Action - Fantasy|7.2
Storks|2016|Adventure - Animation - Comedy|6.7
Straight Outta Compton|2015|Drama - Music|7.7
Street Fighter: Assassin's Fist|2014|Adventure - Action|6.4
Suicide Squad|2016|Action - Crime - Fantasy|5.9
Super Troopers 2|2018|Comedy|6.9
Synchronicity|2016|Thriller - Mystery - Science Fiction|5.6
Tangled|2010|Animation - Family|7.4
Tarzan|1999|Adventure - Animation|7.2
Ted 2|2015|Comedy|6.2
Teenage Mutant Ninja Turtles|2014|Science Fiction - Action - Adventure|5.8
Terminator Genisys|2015|Science Fiction - Action - Thriller|5.8
The Theory of Everything|2014|Drama - Romance|7.8
Thor: Ragnarok|2017|Action - Adventure|7.5
Thor: The Dark World|2013|Action - Adventure|6.7
Tin Cup|1996|Comedy - Drama - Romance|5.9
Tom and Jerry Blast Off to Mars!|2005|Animation - Family|5.7
Tom and Jerry: Shiver Me Whiskers|2006|Animation - Comedy|6.3
Tom and Jerry: The Lost Dragon|2014|Animation - Comedy|6.2
Tom and Jerry: Willy Wonka and the Chocolate Factory|2017|Adventure - Animation|5.7
Tom and Jerry and The Wizard of Oz|2011|Animation - Family|5.8
Tom and Jerry The Fast and the Furry|2005|Family - Animation|6.9
Tomb Raider|2018|Action - Adventure|6.2
Tommy's Honour|2017|Drama - Romance|8.8
Tomorrowland|2015|Adventure - Family - Mystery|6.2
Toy Story|1995|Animation - Comedy - Family|7.7
Toy Story 2|1999|Animation - Comedy - Family|7.3
Toy Story 3|2010|Animation - Family - Comedy|7.6
Toy Story That Time Forgot|2014|Animation - Family|6.8
Trainwreck|2015|Comedy|5.9
Trance|2013|Thriller - Crime - Drama|6.5
Transcendence|2014|Thriller - Science Fiction - Drama|5.9
Triple 9|2016|Thriller|5.5
Trolls|2016|Adventure - Animation - Family|6.6
TRON: Legacy|2010|Adventure - Action|6.3
Unbreakable|2000|Action - Fantasy - Thriller|6.8
Unbroken|2014|Drama - War|7.2
Up|2009|Animation - Comedy - Family|7.7
Vacation|2015|Comedy|6.1
Valerian and the City of a Thousand Planets|2017|Adventure - Science Fiction|6.7
A Walk Among the Tombstones|2014|Crime - Drama - Mystery|6.2
WALL?E|2008|Animation - Family|7.7
War Dogs|2016|Comedy - Crime - Drama|6.8
War for the Planet of the Apes|2017|Drama - Science Fiction|6.7
Warcraft|2016|Action - Adventure - Fantasy|6.3
Whiskey Tango Foxtrot|2016|War - Comedy|6.0
Willy Wonka & the Chocolate Factory|1971|Family - Fantasy|7.4
The Witch|2015|Mystery - Horror|6.2
The Wizard of Oz|1939|Adventure - Family - Fantasy|7.4
The Wolf of Wall Street|2013|Crime - Drama - Comedy|7.9
Wonder Woman|2017|Action - Adventure|7.2
Wonderstruck|2017|Drama|6.1
Woodshock|2017|Thriller - Drama|1.9
Wreck-It Ralph|2012|Family - Animation - Comedy|7.0
X-Men: Apocalypse|2016|Action - Adventure - Fantasy|6.3
X-Men: Days of Future Past|2014|Action - Adventure - Fantasy|7.6
Zero Dark Thirty|2012|Thriller - Drama - History|6.6
Zoolander 2|2016|Comedy|4.7
Zootopia|2016|Animation - Adventure - Family|7.6
